"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-1056600,20.0000023411234,1.32489123969665E-06,NaN,NaN,NaN,""
-1056540,19.9999484453994,1.31412293434718E-06,NaN,NaN,NaN,""
-1056480,19.9998945496754,1.30335462899772E-06,NaN,NaN,NaN,""
-1056420,19.9998406539513,1.29258632364825E-06,NaN,NaN,NaN,""
-1056360,19.9997867582273,1.28181801829878E-06,NaN,NaN,NaN,""
-1056300,19.9998191689286,1.27371648327892E-06,NaN,NaN,NaN,""
-1056240,19.9998642953829,1.26600785055182E-06,NaN,NaN,NaN,""
-1056180,19.9999094218371,1.25831886262297E-06,NaN,NaN,NaN,""
-1056120,19.9999545482913,1.25065568284816E-06,NaN,NaN,NaN,""
-1056060,19.9999996747455,1.24299250307335E-06,NaN,NaN,NaN,""
-1056000,19.9999554762516,1.2136433142761E-06,NaN,NaN,NaN,""
-1055940,19.999910629263,1.18413668611345E-06,NaN,NaN,NaN,""
-1055880,19.9998657822744,1.15445059365874E-06,NaN,NaN,NaN,""
-1055820,19.9998209352858,1.12461967517947E-06,NaN,NaN,NaN,""
-1055760,19.9997894124634,1.09570200803927E-06,NaN,NaN,NaN,""
-1055700,19.9998614462458,1.07388221152371E-06,NaN,NaN,NaN,""
-1055640,19.9999334800283,1.05206241500815E-06,NaN,NaN,NaN,""
-1055580,20.0000055138107,1.0303228020921E-06,NaN,NaN,NaN,""
-1055520,20.0000775475932,1.00862186444737E-06,NaN,NaN,NaN,""
-1055460,20.0001050031178,9.9465871838947E-07,NaN,NaN,NaN,""
-1055400,19.9999875063026,1.00585606652553E-06,NaN,NaN,NaN,""
-1055340,19.9998700094873,1.01705341466158E-06,NaN,NaN,NaN,""
-1055280,19.999752512672,1.0286389580761E-06,NaN,NaN,NaN,""
-1055220,19.9996350158567,1.04032410063656E-06,NaN,NaN,NaN,""
-1055160,19.9995915457319,1.05250101224149E-06,NaN,NaN,NaN,""
-1055100,19.9996817504109,1.06556594315681E-06,NaN,NaN,NaN,""
-1055040,19.99977195509,1.07863087407214E-06,NaN,NaN,NaN,""
-1054980,19.9998621597691,1.09171455412415E-06,NaN,NaN,NaN,""
-1054920,19.9999523644482,1.10479993069688E-06,NaN,NaN,NaN,""
-1054860,19.9999607589598,1.07524180931743E-06,NaN,NaN,NaN,""
-1054800,19.9998796745539,9.99042858783705E-07,NaN,NaN,NaN,""
-1054740,19.9997985901479,9.22793363514957E-07,NaN,NaN,NaN,""
-1054680,19.9997175057419,8.45272238401183E-07,NaN,NaN,NaN,""
-1054620,19.9996364213359,7.67751113287408E-07,NaN,NaN,NaN,""
-1054560,19.999659125571,7.11142513357125E-07,NaN,NaN,NaN,""
-1054500,19.9997513630553,6.68544269593057E-07,NaN,NaN,NaN,""
-1054440,19.9998436005397,6.26028426261912E-07,NaN,NaN,NaN,""
-1054380,19.999935838024,5.8394701336234E-07,NaN,NaN,NaN,""
-1054320,20.0000280755083,5.41865600462768E-07,NaN,NaN,NaN,""
-1054260,20.0001334065322,5.14680374562173E-07,NaN,NaN,NaN,""
-1054200,20.0002438288387,4.93287371516046E-07,NaN,NaN,NaN,""
